fonte,motorista,rotulo_evento,comportamento,magnitude_pico_ms2,evento_detectado
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.627101793468571,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.627101793468571,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.93182486566788,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.93182486566788,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.93182486566788,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.93182486566788,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.93182486566788,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.93182486566788,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.004873505240836,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.357896612460909,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.357896612460909,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.357896612460909,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.357896612460909,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.357896612460909,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.225647139172065,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.225647139172065,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.225647139172065,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.225647139172065,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.368325289912843,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.368325289912843,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.368325289912843,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.734045331275417,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.734045331275417,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.734045331275417,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.734045331275417,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.734045331275417,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.734045331275417,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.734045331275417,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.734045331275417,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.734045331275417,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.734045331275417,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.734045331275417,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.233071241878229,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.233071241878229,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.233071241878229,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.82479790774287,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.82479790774287,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.82479790774287,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.82479790774287,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.82479790774287,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.82479790774287,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.497950879413235,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.497950879413235,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.497950879413235,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.497950879413235,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.730106912025961,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
