limiar_ms2,taxa_min_eventos_min,n_agressiva,agressiva_sinalizados,sensibilidade,n_normal,normal_sinalizados,especificidade,youden,n_sonolenta,sonolenta_sinalizados,taxa_sonolenta
1.5,0.0,11,11,1.0,17,12,0.29411764705882354,0.2941176470588236,12,12,1.0
1.5,0.1,11,11,1.0,17,11,0.35294117647058826,0.3529411764705883,12,12,1.0
1.5,0.2,11,11,1.0,17,9,0.47058823529411764,0.47058823529411775,12,12,1.0
1.5,0.3,11,11,1.0,17,8,0.5294117647058824,0.5294117647058822,12,12,1.0
1.5,0.4,11,11,1.0,17,8,0.5294117647058824,0.5294117647058822,12,12,1.0
1.5,0.5,11,11,1.0,17,8,0.5294117647058824,0.5294117647058822,12,11,0.9166666666666666
1.5,0.6,11,11,1.0,17,8,0.5294117647058824,0.5294117647058822,12,10,0.8333333333333334
1.5,0.7,11,11,1.0,17,8,0.5294117647058824,0.5294117647058822,12,10,0.8333333333333334
1.5,0.8,11,10,0.9090909090909091,17,7,0.5882352941176471,0.49732620320855614,12,10,0.8333333333333334
1.5,0.9,11,10,0.9090909090909091,17,7,0.5882352941176471,0.49732620320855614,12,10,0.8333333333333334
1.5,1.0,11,10,0.9090909090909091,17,6,0.6470588235294118,0.5561497326203209,12,10,0.8333333333333334
1.5,1.1,11,10,0.9090909090909091,17,6,0.6470588235294118,0.5561497326203209,12,10,0.8333333333333334
1.5,1.2,11,10,0.9090909090909091,17,5,0.7058823529411765,0.6149732620320856,12,10,0.8333333333333334
1.5,1.3,11,10,0.9090909090909091,17,5,0.7058823529411765,0.6149732620320856,12,10,0.8333333333333334
1.5,1.4,11,10,0.9090909090909091,17,5,0.7058823529411765,0.6149732620320856,12,9,0.75
1.5,1.5,11,9,0.8181818181818182,17,5,0.7058823529411765,0.5240641711229947,12,8,0.6666666666666666
1.5,1.6,11,9,0.8181818181818182,17,5,0.7058823529411765,0.5240641711229947,12,7,0.5833333333333334
1.5,1.7,11,9,0.8181818181818182,17,4,0.7647058823529411,0.5828877005347595,12,7,0.5833333333333334
